,Industry,Cluster,LDA Topic
0,Financial Services,2,10
1,IT Services and IT Consulting,2,5
2,Maritime Transportation,3,2
3,Maritime,3,0
4,Staffing and Recruiting,3,0
5,"Commercial & Residential Construction,  Construction",3,13
6,Telecommunications,3,0
7,Manufacturing,6,8
8,Information Technology & Services,2,12
9,Software Development,5,9
10,"Software Development,  Finance General,  Regulatory Reporting,  Finance,  EMIR,  REMIT,  MiFID II,  StromVV,  FinfraG,  MAR,  Market Surveillance,  Data Analysis,  Interfaces to Exchanges & Brokers,  SFTR,  MiFIR",5,10
11,International Trade and Development,5,9
12,"Education Administration Programs,  Colleges & Universities,  Education",7,11
13,"Motor Vehicle Manufacturing,  Manufacturing General,  Automotive,  Cars,  Manufacturing,  Transportation,  Performance,  Electric Vehicle,  Event,  Mechanical Engineering,  Science and Engineering",6,8
14,"Business Services General,  Fleet Management,  Business Services,  Vessel Monitoring,  Vessel Tracking,  SSAS (Ship Secuirty Alert Systems),  LRIT Data Centre/ASP services,  LRIT testing services",2,12
15,"Financial Services,  Finance,  Finance General,  Other Capital Markets/Institutions",3,10
16,Mining,3,0
17,Wholesale Import and Export,3,0
18,Oil and Gas,3,0
19,Aviation and Aerospace Component Manufacturing,6,8
20,Defense and Space Manufacturing,6,5
21,Industrial Machinery Manufacturing,6,8
22,Real Estate,3,11
23,"Manufacturing,  Defense and Space Manufacturing",6,5
24,E-Learning Providers,3,6
25,"Higher Education,  Colleges & Universities,  Education",7,11
26,Government Administration,3,14
27,"Appliances, Electrical, and Electronics Manufacturing",3,8
28,"Metals & Mining General,  Metals & Mining",3,6
29,Book and Periodical Publishing,3,14
30,"Transportation, Logistics, Supply Chain and Storage",3,2
31,"Retail,  Medical Equipment Manufacturing,  Monitoring Equipment,  Diagnostic Equipment",3,2
32,Textile Manufacturing,6,8
33,"Aerospace & Defense,  Manufacturing",6,5
34,Higher Education,7,11
35,Construction,3,13
36,Computers and Electronics Manufacturing,6,8
37,Space Research and Technology,3,5
38,"Retail Health and Personal Care Products,  Cosmetics, Beauty Supply & Personal Care Products,  Personal Products,  Personal Care Products,  Consumer Goods,  Internet Retail,  Manufacturing",3,4
39,"Entertainment Providers,  Restaurants,  Hospitality",3,6
40,Aviation & Aerospace,3,0
41,"Appliances, Electrical, and Electronics Manufacturing,  Photographic & Optical Equipment,  MEMs,  Consumer Goods,  Integrated Circuit And Electronics Technology,  Manufacturing,  Machine Vision,  Software,  Framegrabbers,  Semiconductor,  Wafer Processing,  CMOS,  CCD,  Line Scan,  Application Specific Contracts,  Area Scan,  Image Sensors,  X-ray detectors",3,8
42,"Appliances, Electrical, and Electronics Manufacturing,  Test & Measurement Equipment,  DDR 3,  Manufacturing,  DDR 4,  PCIE Express,  USB,  Fibre Channel,  SAS/SATA,  FCOE,  Iscsi",6,8
43,"Appliances, Electrical, and Electronics Manufacturing,  Circuit card assemblies,  Microelectronics packaging solutions,  Mechanical box and backplane assemblies,  Hybrid microcircuits and multichip modules,  Functional testing,  RF microelectronics packaging,  Turnkey material management",3,8
44,"Technology, Information and Media",4,3
45,"Cable & Satellite,  Telecommunications",3,0
46,Satellite Telecommunications,3,0
47,"Design,  Consumer Electronics & Computers Retail,  Electrical/Electronic Manufacturing,  Retail,  Luxury Goods & Jewelry",3,8
48,"Medical Practices,  Fitness & Dance Facilities,  Health Care,  Health,  Recreation,  Medicine,  Hospitality,  Telemedicine,  Telehealth,  Wellness,  Apps,  Heathcare,  General Practice,  Heath Tracking,  International Healthcare",3,4
49,Hospitals and Health Care,3,4
50,"Retail,  E-Commerce,  Commerce and Shopping,  Fashion,  Clothing and Apparel,  Design,  Web Design",3,13
51,"Banking,  Financial Software,  Finance,  Other Financial Services",3,10
52,Furniture and Home Furnishings Manufacturing,6,8
53,"Technology, Information and Internet",3,3
54,"Artificial Intelligence,  Software,  Machine Learning,  Software Development,  Business Intelligence (Bi) Software,  Software Development & Design,  Data and Analytics,  Science and Engineering,  Natural Language Processing,  Neuro-Linguistic Programming,  Information Technology,  Data Science,  Sales,  Sales Automation,  Sales and Marketing",5,9
55,Consumer Services,2,1
56,"Computer Software,  Telecommunications General,  Internet,  Telecommunications,  Management Consulting,  Retail,  Financial Services,  Construction,  Venture Capital & Private Equity,  Capital Markets",3,10
57,Banking,3,10
58,"Movies, Videos and Sound,  Motor Vehicles,  Retail",3,6
59,Motor Vehicle Manufacturing,6,8
60,Non-profit Organizations,8,10
61,Broadcast Media Production and Distribution,4,3
62,Computer and Network Security,3,5
63,Events Services,2,12
64,"Technology, Information and Internet,  Advertising & Marketing,  Global Business Event Directory,  Business Services,  Mobile Device Event Promotion,  Professional and Academic productivity tools,  Seminars, Conferences, Tradeshows, Exhibitions, Webinars",1,12
65,"Software Development,  Business Intelligence (Bi) Software,  Software,  Event Management,  Event networking,  Software Development & Design,  Events,  Event discovery,  Media and Entertainment,  Mobile apps,  Marketing,  Event promotion,  Sales and Marketing,  Event app,  SaaS,  Business Networking,  Ticketing",1,9
66,"Computer and Network Security,  Software Development & Design,  Next Generation Threat Protection,  Software,  Advanced Persistent Threats,  Zero-Day Exploits/Malware,  Targeted Attacks,  Network Security,  Incident Response,  Adaptive Defense,  Cybersecurity",5,9
67,"IT Services and IT Consulting,  Consumer Electronics & Computers Retail,  Consumer Electronics,  Retail,  Hardware,  Cyber Security,  Information Technology,  Privacy and Security,  Electronics",3,5
68,Industry Associations,3,0
69,Airlines and Aviation,3,0
70,Professional Training and Coaching,3,11
71,"Online Audio and Video Media,  Publishing,  Online Publishing,  Media & Internet",4,3
72,Public Relations and Communications Services,2,0
73,"Banking,  Finance,  Financial Services,  Lending and Investments",3,10
74,"Travel Arrangements,  Travel Agencies & Services,  Tourism,  Consumer Services,  Travel and Tourism,  Travel",3,7
75,Travel Arrangements,3,7
76,"Software Development,  Business Intelligence (Bi) Software,  Computer Software,  Software Development & Design,  Linux,  Software",5,9
77,"Investment Management,  Finance General,  Real Estate Development,  Finance,  Private Equity Real Estate,  Asset Management",3,11
78,Hospitality,3,6
79,"Leisure, Travel & Tourism",3,7
80,"Music,  Multimedia, Games And Graphics Software,  Independent Music,  Publishing,  Software Development & Design,  Media and Entertainment,  Entertainment Software,  Software,  Music and Audio,  Internet,  Internet Services",5,3
81,"Software,  Software Development,  Multimedia, Games And Graphics Software,  Augmented Reality,  Mobile Apps,  Software Development & Design,  Hardware,  Mobile Gaming,  Location Based Services,  Internet,  Internet Services,  Video Games,  Gaming,  Virtual Reality",5,9
82,"Retail,  Wall Murals,  Wallpapers,  Canvas Prints,  Custom Wallpapers & Canvas Prints",3,1
83,"TV,  Entertainment Providers,  Information Collection & Delivery,  Content,  Movies,  Media & Internet,  Media and Entertainment,  Celebs,  Video",4,3
84,"Art,  Technology, Information and Internet,  Media & Internet General,  Media & Internet,  Media and Entertainment,  Community,  Communities,  Creativity,  Community and Lifestyle,  Sharing,  E-Commerce,  Ideas,  Commerce and Shopping,  Internet,  Internet Services,  Music,  Music and Audio,  News,  Content and Publishing,  Photography,  Social Media",4,3
85,"Broadcast Media,  Broadcasting,  News,  Media & Internet,  Business News,  Finance News,  Business,  Markets,  Investing,  Technology,  Small Business,  Economy,  Wealth,  Politics,  Europe Business News,  Asia Business News",3,12
86,"Hospitality,  Lodging & Resorts,  Hotel Management",3,6
87,"Hospitality,  Lodging & Resorts,  Hotels and Resorts,  Other Restaurants, Hotels and Leisure",3,2
88,"Software Development,  Consumer Electronics & Computers Retail,  Retail",3,1
89,"Publishing,  Media & Internet",4,3
