,event_name,event_description,event_url,event_industry
0,World University Expo @ SUNTEC,"Join our World University Expo this Saturday, 6 July 2024 12-6.30pm at SUNTEC whereby you can meet staff members of 50+ Renown Unis & Pathways from UK, Australia, Switzerland, USA & NZ etc. (Many travel from overseas for this event). Fantastic One-Stop Event for you to get all your queries answered and get an in-depth understanding of many Renowned Unis & Pathways.",http://expo.overseaseducation.sg/,education
1,AHICE South East Asia,"The Asian Hotel Industry Conference & Exhibition (AHICE) hosted by HM Magazine made its South East Asia debut in February 2024 on Tuesday 27, Wednesday 28 and Thursday 29 in Singapore. The event was attended by over 500 South East Asia’s leading hotel owners, operators, consultants and suppliers. The 2024 program included evocative, educational and insightful keynote speakers, Q&As and panel sessions featuring more than 50 key speakers from across South East Asia and globally. The launch of AHICE in South East Asia follows the success of the recent Asia Pacific Hotel Industry Conference and Exhibition held in Adelaide, South Australia during May 2023 and attended by a record 1,500 delegates, making it the largest accommodation event in Asia Pacific region. AHICE South East Asia will return to Singapore on 25 – 26 February 2025 at the Pan Pacific Singapore. Stay up to date on all things AHICE [here.](https://ahiceconference.com/southeastasia/subscribe/)",https://ahiceconference.com/southeastasia/,hotels and resorts
2,Commodity Trading Week APAC,Commodity Trading Week APAC is the premier event in the Asia Pacific region for the commodity industry. It offers a platform for professionals across all sectors of commodity trading to network and gain insights.,https://apac.commoditytradingweek.com/,commodity trading
3,Architecture & Building Services (ABS) 2024,The 10th Architecture & Building Services (ABS) 2024 is a trade exposition for the built environment industry in Singapore and ASEAN countries.,https://architecturebuildingservices.com.sg/,architecture and planning
4,Asian Downstream Summit,"The Asian Downstream Summit is Asia’s most influential downstream oil and gas event. It brings together senior industry leaders and decision-makers from across the downstream value chain to discuss the industry's challenges and solutions. The event focuses on advancing sustainable energy solutions in Asian petrochemicals and refining industries. Co-located with the Asian Refining Technology Conference (ARTC) and the Ammonia & Carbon Capture Asia (ACCA) conference. The event includes conferences, an expo, and networking opportunities.",https://asiandownstreaminsights.com/events/asian-downstream-summit/,oil&gas
5,Asian Refining Technology Conference,Advancing Sustainable Energy Solutions in Asian Petrochemicals and Refining Industries,https://asiandownstreaminsights.com/events/asian-refining-technology-conference/,oil & gas
6,BeautyAsia,Asia’s most established beauty and wellness networking platform,https://beautyasia.com.sg/show-info/,cosmetics
7,Blockchain Festival Asia 2025,Blockchain Festival Singapore (SG) stands as a main innovative event...,https://blockchainfestival.asia/,blockchain
8,DigiMarCon Asia Pacific 2024-Digital Marketing Conference & Exhibition,"DigiMarCon Asia Pacific 2024 is a premier digital marketing, media, and advertising event.",https://digimarconapac.com/,digital marketing
9,Cyber Security Summit Singapore,A Strategic Agenda for Securing Singapore's Cyberspace,https://exito-e.com/cybersecuritysummit/singapore/,cyber security
10,FHA-Food & Beverage,"FHA-Food & Beverage is an annual event held every April. It focuses on the dynamic food and beverage sector, bringing together a diverse array of global suppliers and key buyers from Asia and beyond. This event is a hub for exploring the latest trends, innovations, and high-quality products in the F&B industry.",https://foodnhotelasia.com/,food and beverage
11,2nd Edition of Global Conference on Gynecology & Women's Health,"The upcoming scientific gathering, ""2nd Edition of Global Conference on Gynecology and Women’s Health"" (Gynec 2024), organized by Magnus Group, is set to be a significant event. This Hybrid Event is scheduled to take place during October 17-19, 2024, in Baltimore, Maryland, USA, and virtually.",https://gynecology.magnusconferences.com/,healthcare
12,2024 IEEE International Conference on Multimedia and Expo,The IEEE International Conference on Multimedia and Expo for researchers in the field of multimedia.,https://ieee-cas.org/event/conference/2024-ieee-international-symposium-circuits-and-systems,media & internet
13,2024 IEEE International Conference on Multimedia and Expo,The IEEE International Conference on Multimedia and Expo is a premier forum for resear...,https://ieee-cas.org/event/symposium/2024-ieee-international-symposium-circuits-and-systems,electronics
14,9th BioLogistics World Asia 2025,The 9th BioLogistics World Asia 2025 is a one-of-a-kind symposium...,https://imapac.com/events/biologistics-world-asia/,biotechnology research
15,ISPE Singapore Conference & Exhibition 2024,One of the largest and most respected pharmaceutical manufacturing shows in Singapore for pharmaceutical and biomanufacturing professionals. The event highlights best practices and services from manufacturing facility design to finished product.,https://ispe.org/singapore-affiliate/events/ispe-singapore-conference-exhibition-2024,pharmaceutical manufacturing
16,GFSI Conference,The annual rendezvous for everyone involved in advancing food safety and consumer trust worldwide.,https://mygfsi.com/events/gfsi-conference/,food and beverage
17,Food Japan 2024,"ASEAN Exhibition of Oishii Japanese F&B, Technology, and Services",https://oishii-world.com/en/,food
18,MBA and Master's Fair in Singapore,"Join Singapore's Premium Business School Tour, 17 August 2024: Discover World-Leading Business Schools!",https://qs.topuniversities.com/events/asia/singapore,education
19,International Conference and Exhibition on Pharmaceutics and Drug Delivery Systems,"""Enlightening the recent advances in Drug Delivery Research and Nanomedicine""",https://scholarsconferences.com/pharmaceutics-drugdelivery-research/,pharmaceutical manufacturing
20,World Food Fair,The annual World Food Fair is back for its 19th edition. One of the,https://singaporefoodshows.com.sg/world-food-fair/,food and beverage
21,Yummy Food Expo 2024,A 4-day annual F&B consumer event showcasing food delectables,https://singaporefoodshows.com.sg/yummy-food-expo/,food
22,The MarTech Summit Asia,"MarTech Revitalisation: Assemble, Synergise, Impact, Advance",https://themartechsummit.com/singapore/,MarTech
23,Traders Fair Singapore,"Traders Fair offers a dynamic and engaging series of educational and networking events that traverse Asia and beyond, providing invaluable opportunities for learning and professional connections on a global scale.",https://tradersfair.com/singapore/,finance
24,Apidays Singapore,"Connecting Customers, Business and Technology",https://www.apidays.global/singapore/,information technology
25,ART SG,Third edition of ART SG featuring leading international galleries,https://www.artsg.com/,art
26,The Business Show Asia,"Asia's Leading Event for Entrepreneurs, Business Owners and Startups",https://www.asiabusinessshow.com/,business
27,11th Middle East Insurance Industry Awards 2024,"Theme: ""Unlocking China’s Potential, Resilience and Power in the World’s Insurance Landscape""",https://www.asiainsurancereview.com/Events/Home/Asia/lifesummit2024,insurance
28,BEX Asia,The Built Environment Expo in Southeast Asia,https://www.bex-asia.com/,architecture and planning
29,Big Data & AI World Asia,Premier event exploring the intersection of Big Data and AI,https://www.bigdataworldasia.com/,information technology
30,Cleantech Forum Asia,Cleantech Forum Asia connects professionals in the sustainable,https://www.cleantech.com/event/cleantech-forum-asia/,cleantech
31,Cloud Expo Asia Singapore 2024,Cloud Expo Asia is a leading technology event for enterprise solutions,https://www.cloudexpoasia.com/,information technology
32,SG Pet Festival 2024,Step into the enchanting world of furry friends at the SG Pet Festival,https://www.clubpets.com.sg/sg-pet-festival/,animals & livestock
33,Process Innovation Asia-Pacific,,https://www.constellar.co/,oil&gas
34,Cyber Security World Asia,"PAVING THE WAY FOR THE FUTURE OF CYBERSECURITY. Cyber Security World Asia will return on 9-10th October 2024 at Marina Bay Sands, Singapore. With thousands of professionals, business leaders, and cybersecurity enthusiasts in attendance, the award-winning event offers a unique opportunity for networking and knowledge exchange. This expansive platform of professionals, thought leaders, and pioneering solution providers offers boundless opportunities to create partnerships, collaborate with peers, and future-proof your business. BE A PART OF THE COMMUNITY! Kicking-off our Call-for-Papers Campaign. Industry Thought Leaders, Join Us for this Edition!",https://www.cybersecurityworldasia.com/,cybersecurity
35,FIND-Design Fair Asia,"Join Asia’s Leading Furniture, Interiors And Design Event.",https://www.designfairasia.com/,architecture and planning
36,#DMWF Asia,Exploring the Future of Digital Marketing Technologies,https://www.digitalmarketing-conference.com/asia/,digital marketing
37,eCommerce Expo Asia,"eCommerce Expo Asia provides a platform for businesses to discover cutting-edge solutions, forge meaningful connections, and gain valuable insights to thrive in the ever-evolving ecommerce ecosystem.",https://www.ecommerceexpoasia.com/,ecommerce
38,Geo Connect Asia,Delivering sustainable solutions for the built environment,https://www.geoconnectasia.com/digital-construction-asia,oil & gas
39,Industrial Transformation ASIA-PACIFIC 2024,"Constellar convenes businesses, curates ideas and creates opportunities for sustainable business growth.",https://www.industrial-transformation.com/,oil & gas
